ORDER	ORTHOGRAPHY	IPA	FREQUENCY
15409	beau	bˈə‍ʊ	267
15410	ballistic	bɐlˈɪstɪk	267
15411	assaults	ɐsˈɒlts	267
15412	uncanny	ʌnkˈæni	266
15413	thinkers	θˈɪŋkəz	266
15414	syringe	sɪɹˈɪnd‍ʒ	266
15415	swirl	swˈɜːl	266
15416	stomping	stˈɒmpɪŋ	266
15417	restrain	ɹɪstɹˈe‍ɪn	266
15418	puzzling	pˈʌzlɪŋ	266
15419	presbyterian	pɹɪsba‍ɪtˈi‍əɹɪən	266
15420	plumbers	plˈʌməz	266
15421	overcrowding	ˌə‍ʊvəkɹˈa‍ʊdɪŋ	266
15422	nirvana	nɜːvˈɑːnɐ	266
15423	jinx	d‍ʒˈɪŋks	266
15424	induced	ɪndjˈuːst	266
15425	hypothermia	hˌa‍ɪpə‍ʊθˈɜːmiɐ	266
15426	haunts	hˈɔːnts	266
15427	greenery	ɡɹˈiːnəɹi	266
15428	goldilocks	ɡˈə‍ʊldɪlˌɒks	266
15429	fledgling	flˈɛd‍ʒlɪŋ	266
15430	elated	ɪlˈe‍ɪtɪd	266
15431	dyslexia	dɪslˈɛksi‍ə	266
15432	comedies	kˈɒmədɪz	266
15433	clamping	klˈæmpɪŋ	266
15434	caricature	kˈæɹɪkət‍ʃˌɔː	266
15435	beheaded	bɪhˈɛdɪd	266
15436	behaviours	bɪhˈe‍ɪvjəz	266
15437	bakes	bˈe‍ɪks	266
15438	aura	ˈɔːɹɐ	266
15439	anagram	ˈænɐɡɹˌæm	266
15440	zeta	zˈɛtɐ	265
15441	wielding	wˈiːldɪŋ	265
15442	wagging	wˈæɡɪŋ	265
15443	vendor	vˈɛndɐ	265
15444	unease	ʌnˈiːz	265
15445	surveyed	səvˈe‍ɪd	265
15446	suitcases	sˈuːtke‍ɪsɪz	265
15447	sous	sˈuːz	265
15448	slalom	slˈæləm	265
15449	savour	sˈe‍ɪvɐ	265
15450	ridges	ɹˈɪd‍ʒɪz	265
15451	quarries	kwˈɒɹɪz	265
15452	prescribe	pɹɪskɹˈa‍ɪb	265
15453	poked	pˈə‍ʊkt	265
15454	placements	plˈe‍ɪsmənts	265
15455	paralysis	pəɹˈæləsˌɪs	265
15456	mower	mˈə‍ʊɐ	265
15457	mounds	mˈa‍ʊndz	265
15458	misplaced	mɪsplˈe‍ɪst	265
15459	mincemeat	mˈɪnsɪmˌiːt	265
15460	memoir	mˈɛmwɑː	265
15461	impoverished	ɪmpˈɒvəɹɪʃt	265
15462	hooter	hˈuːtɐ	265
15463	goalkeeping	ɡˈə‍ʊlkiːpɪŋ	265
15464	glimpses	ɡlˈɪmpsɪz	265
15465	gable	ɡˈe‍ɪbə‍l	265
15466	enigmatic	ˌɛnɪɡmˈætɪk	265
15467	crusty	kɹˈʌsti	265
15468	collisions	kəlˈɪʒənz	265
15469	coded	kˈə‍ʊdɪd	265
15470	choc	t‍ʃˈɒk	265
15471	blindfolded	blˈa‍ɪndfə‍ʊldɪd	265
15472	writings	ɹˈa‍ɪtɪŋz	264
15473	whiplash	wˈɪplæʃ	264
15474	vegan	vˈiːɡən	264
15475	uptight	ʌptˈa‍ɪt	264
15476	typhoon	ta‍ɪfˈuːn	264
15477	tracker	tɹˈækɐ	264
15478	thrived	θɹˈa‍ɪvd	264
15479	tempest	tˈɛmpəst	264
15480	spied	spˈa‍ɪd	264
15481	spans	spˈænz	264
15482	smuggle	smˈʌɡə‍l	264
15483	skater	skˈe‍ɪtɐ	264
15484	simmering	sˈɪməɹɪŋ	264
15485	silvery	sˈɪlvəɹi	264
15486	sharpen	ʃˈɑːpən	264
15487	seared	sˈi‍əd	264
15488	robes	ɹˈə‍ʊbz	264
15489	puffing	pˈʌfɪŋ	264
15490	prominence	pɹˈɒmɪnəns	264
15491	populist	pˈɒpjʊlˌɪst	264
15492	plonk	plˈɒŋk	264
15493	odour	ˈə‍ʊdɐ	264
15494	locomotives	lˌə‍ʊkəmˈə‍ʊtɪvz	264
15495	handbrake	hˈændbɹe‍ɪk	264
15496	grievances	ɡɹˈiːvənsɪz	264
15497	flowery	flˈa‍ʊəɹi	264
15498	figuring	fˈɪɡəɹɪŋ	264
15499	fickle	fˈɪkə‍l	264
15500	excites	ɛksˈa‍ɪts	264
15501	escalating	ˈɛskɐlˌe‍ɪtɪŋ	264
15502	cotta	kˈɒtɐ	264
15503	considerate	kənsˈɪdəɹət	264
15504	beginners	bɪɡˈɪnəz	264
15505	bayonet	bˈe‍ɪənˌɛt	264
15506	barefoot	bˈe‍əfʊt	264
15507	avenues	ˈævənjˌuːz	264
15508	yachts	jˈɒts	263
15509	wholesome	hˈə‍ʊlsʌm	263
15510	tinted	tˈɪntɪd	263
15511	syne	sˈa‍ɪn	263
15512	sitcoms	sˈɪtkɒmz	263
15513	projecting	pɹəd‍ʒˈɛktɪŋ	263
15514	plugging	plˈʌɡɪŋ	263
15515	pedalling	pˈɛdə‍lˌɪŋ	263
15516	overjoyed	ˌə‍ʊvəd‍ʒˈɔ‍ɪd	263
15517	nit	nˈɪt	263
15518	mar	mˈɑː	263
15519	likeness	lˈa‍ɪknəs	263
15520	leash	lˈiːʃ	263
15521	latte	lˈɑːte‍ɪ	263
15522	hatching	hˈæt‍ʃɪŋ	263
15523	grotto	ɡɹˈɒtə‍ʊ	263
15524	gospels	ɡˈɒspə‍lz	263
15525	gaby	ɡˈe‍ɪbi	263
15526	fiend	fˈiːnd	263
15527	escalate	ˈɛskɐlˌe‍ɪt	263
15528	enlighten	ɛnlˈa‍ɪtən	263
15529	debs	dˈɛbz	263
15530	crises	kɹˈa‍ɪsiːz	263
15531	cookbook	kˈʊkbʊk	263
15532	colt	kˈə‍ʊlt	263
15533	chlorine	klˈɔːɹiːn	263
15534	butts	bˈʌts	263
15535	browns	bɹˈa‍ʊnz	263
15536	apocalypse	ɐpˈɒkɐlˌɪps	263
15537	airspace	ˈe‍əspe‍ɪs	263
15538	swamped	swˈɒmpt	262
15539	stellar	stˈɛlɐ	262
15540	sockets	sˈɒkɪts	262
15541	riviera	ɹˌɪviˈɛɹɐ	262
15542	retrospect	ɹˌɛtɹə‍ʊspˈɛkt	262
15543	puss	pˈʊs	262
15544	petit	pətˈiː	262
15545	painfully	pˈe‍ɪnfəli	262
15546	paedophiles	pˈiːdəfˌa‍ɪlz	262
15547	overflowing	ˌə‍ʊvəflˈə‍ʊɪŋ	262
15548	navigator	nˈævɪɡˌe‍ɪtɐ	262
15549	morgue	mˈɔːɡ	262
15550	matrix	mˈe‍ɪtɹɪks	262
15551	holed	hˈə‍ʊld	262
15552	haystack	hˈe‍ɪstæk	262
15553	explores	ɛksplˈɔːz	262
15554	depict	dɪpˈɪkt	262
15555	corresponding	kˌɒɹɪspˈɒndɪŋ	262
15556	clubhouse	klˈʌbha‍ʊs	262
15557	brothel	bɹˈɒθə‍l	262
15558	beet	bˈiːt	262
15559	automobile	ˈɔːtəməbˌi‍əl	262
15560	arisen	əɹˈɪzən	262
15561	widows	wˈɪdə‍ʊz	261
15562	whacked	wˈækt	261
15563	tout	tˈa‍ʊt	261
15564	swallowing	swˈɒlə‍ʊɪŋ	261
15565	sumo	sˈuːmə‍ʊ	261
15566	slayer	slˈe‍ɪɐ	261
15567	scrubbed	skɹˈʌbd	261
15568	photographing	fˈə‍ʊtəɡɹˌæfɪŋ	261
15569	penthouse	pˈɛntha‍ʊs	261
15570	overdo	ˌə‍ʊvədˈuː	261
15571	orang	ˈɔːɹæŋ	261
15572	naturalist	nˈæt‍ʃəɹəlˌɪst	261
15573	manoeuvres	mənˈuːvəz	261
15574	limousine	lˈɪməzˌiːn	261
15575	kinetic	kɪnˈɛtɪk	261
15576	gannet	ɡˈænɪt	261
15577	escalator	ˈɛskɐlˌe‍ɪtɐ	261
15578	embryo	ˈɛmbɹɪˌə‍ʊ	261
15579	discretionary	dɪskɹˈɛʃənəɹi	261
15580	continual	kəntˈɪnjuːə‍l	261
15581	coffees	kˈɒfɪz	261
15582	churchyard	t‍ʃˈɜːt‍ʃjɑːd	261
15583	chaser	t‍ʃˈe‍ɪsɐ	261
15584	captivated	kˈæptɪvˌe‍ɪtɪd	261
15585	browsing	bɹˈa‍ʊzɪŋ	261
15586	breakfasts	bɹˈɛkfəsts	261
15587	brawn	bɹˈɔːn	261
15588	boldly	bˈə‍ʊldli	261
15589	velocity	vəlˈɒsɪti	260
15590	vaults	vˈɒlts	260
15591	turban	tˈɜːbən	260
15592	tinkering	tˈɪŋkəɹɪŋ	260
15593	tenderness	tˈɛndənəs	260
15594	teachings	tˈiːt‍ʃɪŋz	260
15595	styling	stˈa‍ɪlɪŋ	260
15596	sourcing	sˈɔːsɪŋ	260
15597	silhouette	sˌɪlʊwˈɛt	260
15598	robe	ɹˈə‍ʊb	260
15599	replicated	ɹˈɛplɪkˌe‍ɪtɪd	260
15600	rearrange	ɹˌiːɐɹˈe‍ɪnd‍ʒ	260
15601	pipped	pˈɪpt	260
15602	parading	pəɹˈe‍ɪdɪŋ	260
15603	multinational	mˌʌltɪnˈæʃənə‍l	260
15604	mortified	mˈɔːtɪfˌa‍ɪd	260
15605	mindless	mˈa‍ɪndləs	260
15606	mended	mˈɛndɪd	260
15607	melton	mˈɛltən	260
15608	matchbox	mˈæt‍ʃbɒks	260
15609	masterpieces	mˈɑːstəpˌiːsɪz	260
15610	greening	ɡɹˈiːnɪŋ	260
15611	deterioration	dɪtˌi‍əɹi‍əɹˈe‍ɪʃən	260
15612	depiction	dɪpˈɪkʃən	260
15613	cereals	sˈi‍əɹɪə‍lz	260
15614	broads	bɹˈɔːdz	260
15615	blockage	blˈɒkɪd‍ʒ	260
15616	averages	ˈævɹɪd‍ʒɪz	260
15617	anchovy	ˈænt‍ʃɒvi	260
15618	voltage	vˈə‍ʊltɪd‍ʒ	259
15619	upward	ˈʌpwəd	259
15620	trotter	tɹˈɒtɐ	259
15621	theology	θɪˈɒləd‍ʒi	259
15622	tavern	tˈævən	259
15623	stylist	stˈa‍ɪlɪst	259
15624	stimulation	stˌɪmjʊlˈe‍ɪʃən	259
15625	soya	sˈɔ‍ɪɐ	259
15626	saucers	sˈɔːsəz	259
15627	rumbled	ɹˈʌmbə‍ld	259
15628	resurgence	ɹɪsˈɜːd‍ʒəns	259
15629	recreated	ɹˌiːkɹiːˈe‍ɪtɪd	259
15630	quits	kwˈɪts	259
15631	payout	pˈe‍ɪa‍ʊt	259
15632	nationalised	nˈæʃənəlˌa‍ɪzd	259
15633	memorials	məmˈɔːɹɪəlz	259
15634	labourers	lˈe‍ɪbɜːɹəz	259
15635	kangaroos	kˈæŋɡɐɹˌuːz	259
15636	hanky	hˈæŋki	259
15637	gramophone	ɡɹˈæməfˌə‍ʊn	259
15638	goodbyes	ɡˈʊdba‍ɪz	259
15639	garland	ɡˈɑːlənd	259
15640	footpath	fˈʊtpɑːθ	259
15641	distillery	dɪstˈɪləɹi	259
15642	derives	dɪɹˈa‍ɪvz	259
15643	bowels	bˈa‍ʊə‍lz	259
15644	asteroids	ˈɑːstəɹˌɔ‍ɪdz	259
15645	wasteful	wˈe‍ɪstfə‍l	258
15646	specified	spˈɛsɪfˌa‍ɪd	258
15647	rousing	ɹˈa‍ʊzɪŋ	258
15648	restorer	ɹɪstˈɔːɹɐ	258
15649	reactive	ɹɪˈæktɪv	258
15650	rapids	ɹˈæpɪdz	258
15651	prism	pɹˈɪzəm	258
15652	patchwork	pˈæt‍ʃwɜːk	258
15653	outward	ˈa‍ʊtwəd	258
15654	ordinarily	ˌɔːdɪnˈɛɹəli	258
15655	milling	mˈɪlɪŋ	258
15656	mathematicians	mˌæθɪmɐtˈɪʃənz	258
15657	maize	mˈe‍ɪz	258
15658	livery	lˈɪvəɹi	258
15659	lemongrass	lˈɛməŋɡɹˌɑːs	258
15660	joiner	d‍ʒˈɔ‍ɪnɐ	258
15661	intestine	ɪntˈɛstɪn	258
15662	insanity	ɪnsˈænɪti	258
15663	infinitely	ˈɪnfɪnətli	258
15664	incision	ɪnsˈɪʒən	258
15665	immersed	ɪmˈɜːsd	258
15666	homesick	hˈə‍ʊmsɪk	258
15667	glover	ɡlˈʌvɐ	258
15668	flushing	flˈʌʃɪŋ	258
15669	extracting	ɛkstɹˈæktɪŋ	258
15670	elementary	ˌɛlɪmˈɛntəɹi	258
15671	dominoes	dˈɒmɪnˌə‍ʊz	258
15672	cosmetics	kɒzmˈɛtɪks	258
15673	compromising	kˈɒmpɹəmˌa‍ɪzɪŋ	258
15674	chuff	t‍ʃˈʌf	258
15675	brunch	bɹˈʌnt‍ʃ	258
15676	bracelets	bɹˈe‍ɪsləts	258
15677	anxiously	ˈæŋʃəsli	258
15678	accelerating	ɐksˈɛləɹˌe‍ɪtɪŋ	258
15679	yodel	jˈə‍ʊdə‍l	257
15680	vindicated	vˈɪndɪkˌe‍ɪtɪd	257
15681	viaduct	vˈa‍ɪədˌʌkt	257
15682	ungrateful	ʌnɡɹˈe‍ɪtfə‍l	257
15683	tiptoe	tˈɪptə‍ʊ	257
15684	swaps	swˈɒps	257
15685	stroud	stɹˈa‍ʊd	257
15686	shopper	ʃˈɒpɐ	257
15687	seizures	sˈiːʒəz	257
15688	rosette	ɹə‍ʊzˈɛt	257
15689	reconcile	ɹˈɛkənsˌa‍ɪl	257
15690	potteries	pˈɒtəɹiz	257
15691	playboy	plˈe‍ɪbɔ‍ɪ	257
15692	nestled	nˈɛsə‍ld	257
15693	manifest	mˈænɪfˌɛst	257
15694	lawnmower	lˈɔːnmə‍ʊɐ	257
15695	interruption	ˌɪntəɹˈʌpʃən	257
15696	hysteria	hɪstˈi‍əɹɪɐ	257
15697	hairdryer	hˈe‍ədɹa‍ɪɐ	257
15698	drab	dɹˈæb	257
15699	cornflakes	kˈɔːnfle‍ɪks	257
15700	corned	kˈɔːnd	257
15701	chests	t‍ʃˈɛsts	257
15702	caramelise	kˈæɹəmˌɛla‍ɪz	257
15703	bled	blˈɛd	257
15704	bathe	bˈe‍ɪð	257
15705	barbarians	bɑːbˈe‍əɹi‍ənz	257
15706	arbitrary	ˈɑːbɪtɹəɹi	257
15707	amend	ɐmˈɛnd	257
15708	tickly	tˈɪkli	256
15709	thereby	ðe‍əbˈa‍ɪ	256
15710	sustaining	səstˈe‍ɪnɪŋ	256
15711	smallholding	smˈɔːlhə‍ʊldɪŋ	256
15712	rainwater	ɹˈe‍ɪnwɔːtɐ	256
15713	overtaking	ˌə‍ʊvətˈe‍ɪkɪŋ	256
15714	nosy	nˈə‍ʊzi	256
15715	munitions	mjuːnˈɪʃənz	256
15716	misguided	mɪsɡˈa‍ɪdɪd	256
15717	minefield	mˈa‍ɪnfiːld	256
15718	majors	mˈe‍ɪd‍ʒəz	256
15719	infants	ˈɪnfənts	256
15720	indulgent	ɪndˈʌld‍ʒənt	256
15721	indifferent	ɪndˈɪfɹənt	256
15722	horticulture	hˈɔːtɪkˌʌlt‍ʃɐ	256
15723	gunner	ɡˈʌnɐ	256
15724	gull	ɡˈʌl	256
15725	fritz	fɹˈɪts	256
15726	exaggerate	ɛɡzˈæd‍ʒəɹˌe‍ɪt	256
15727	enchanting	ɛnt‍ʃˈɑːntɪŋ	256
15728	disperse	dɪspˈɜːs	256
15729	dapper	dˈæpɐ	256
15730	crested	kɹˈɛstɪd	256
15731	constructing	kənstɹˈʌktɪŋ	256
15732	booster	bˈuːstɐ	256
15733	bluffing	blˈʌfɪŋ	256
15734	vie	vˈa‍ɪ	255
15735	trepidation	tɹˌɛpɪdˈe‍ɪʃən	255
15736	toenails	tˈə‍ʊne‍ɪlz	255
15737	tearful	tˈi‍əfə‍l	255
15738	roo	ɹˈuː	255
15739	refurbish	ɹɪfˈɜːbɪʃ	255
15740	quintessentially	kwˌɪntɪsˈɛnʃə‍lˌi	255
15741	pegging	pˈɛɡɪŋ	255
15742	payroll	pˈe‍ɪɹə‍ʊl	255
15743	paperweight	pˈe‍ɪpəwˌe‍ɪt	255
15744	negativity	nˌɛɡɐtˈɪvɪti	255
15745	modernist	mˈɒdənˌɪst	255
15746	labourer	lˈe‍ɪbɜːɹɐ	255
15747	jointly	d‍ʒˈɔ‍ɪntli	255
15748	invoice	ˈɪnvɔ‍ɪs	255
15749	intrusive	ɪntɹˈuːsɪv	255
15750	hydro	hˈa‍ɪdɹə‍ʊ	255
15751	honed	hˈə‍ʊnd	255
15752	handiwork	hˈændɪwˌɜːk	255
15753	fryer	fɹˈa‍ɪɐ	255
15754	feud	fjˈuːd	255
15755	fakery	fˈe‍ɪkəɹi	255
15756	explodes	ɛksplˈə‍ʊdz	255
15757	emphatic	ɛmfˈætɪk	255
15758	embroidery	ɛmbɹˈɔ‍ɪdəɹi	255
15759	discerning	dɪsˈɜːnɪŋ	255
15760	crimson	kɹˈɪmsən	255
15761	chums	t‍ʃˈʌmz	255
15762	characterful	kˈæɹɪktəfə‍l	255
15763	bedrock	bˈɛdɹɒk	255
15764	barons	bˈæɹənz	255
15765	barges	bˈɑːd‍ʒɪz	255
15766	ancestral	ænsˈɛstɹə‍l	255
15767	aired	ˈe‍əd	255
15768	abattoir	ˈæbɐtwˌɑː	255
15769	woes	wˈə‍ʊz	254
15770	wheelchairs	wˈiːlt‍ʃe‍əz	254
15771	wading	wˈe‍ɪdɪŋ	254
15772	tracksuit	tɹˈæksuːt	254
15773	threes	θɹˈiːz	254
15774	terminator	tˈɜːmɪnˌe‍ɪtɐ	254
15775	talons	tˈælɒnz	254
15776	suppress	səpɹˈɛs	254
15777	ravine	ɹəvˈiːn	254
15778	prowl	pɹˈa‍ʊl	254
15779	pissing	pˈɪsɪŋ	254
15780	onus	ˈə‍ʊnəs	254
15781	mercer	mˈɜːsɐ	254
15782	marries	mˈæɹɪz	254
15783	lollies	lˈɒliz	254
15784	logged	lˈɒɡd	254
15785	insides	ɪnsˈa‍ɪdz	254
15786	indulgence	ɪndˈʌld‍ʒəns	254
15787	grander	ɡɹˈændɐ	254
15788	gobstopper	ɡˈɒbstɒpɐ	254
15789	fridges	fɹˈɪd‍ʒɪz	254
15790	engagements	ɛnɡˈe‍ɪd‍ʒmənts	254
15791	embargo	ɛmbˈɑːɡə‍ʊ	254
15792	earthly	ˈɜːθli	254
15793	detectors	dɪtˈɛktəz	254
15794	defenceless	dɪfˈɛnsləs	254
15795	bragging	bɹˈæɡɪŋ	254
15796	bracken	bɹˈækən	254
15797	beige	bˈe‍ɪʒ	254
15798	barristers	bˈæɹɪstəz	254
15799	accountancy	ɐkˈa‍ʊntənsi	254
15800	whopper	wˈɒpɐ	253
15801	whisker	wˈɪskɐ	253
15802	triumphed	tɹˈa‍ɪʌmfd	253
15803	treen	tɹˈiːn	253
15804	tailored	tˈe‍ɪləd	253
15805	surrogate	sˈʌɹəɡˌe‍ɪt	253
15806	strangle	stɹˈæŋɡə‍l	253
15807	sobering	sˈə‍ʊbəɹɪŋ	253
15808	shooter	ʃˈuːtɐ	253
15809	sheepdog	ʃˈiːpdɒɡ	253
15810	shameless	ʃˈe‍ɪmləs	253
15811	rigs	ɹˈɪɡz	253
15812	pretends	pɹɪtˈɛndz	253
15813	praises	pɹˈe‍ɪzɪz	253
15814	peeping	pˈiːpɪŋ	253
15815	pearly	pˈɜːli	253
15816	parchment	pˈɑːt‍ʃmənt	253
15817	oozing	ˈuːzɪŋ	253
15818	nylon	nˈa‍ɪlɒn	253
15819	nerd	nˈɜːd	253
15820	nag	nˈæɡ	253
15821	loaves	lˈə‍ʊvz	253
15822	gutsy	ɡˈʌtsi	253
15823	gees	d‍ʒˈiːz	253
15824	foothold	fˈʊthə‍ʊld	253
15825	factions	fˈækʃənz	253
15826	facelift	fˈe‍ɪslɪft	253
15827	dehydrated	dˌiːha‍ɪdɹˈe‍ɪtɪd	253
15828	decimal	dˈɛsɪmə‍l	253
15829	cutters	kˈʌtəz	253
15830	chequered	t‍ʃˈɛkəd	253
15831	cenotaph	sˈɛnə‍ʊtˌæf	253
15832	brill	bɹˈɪl	253
15833	whitewash	wˈa‍ɪtwɒʃ	252
15834	weirder	wˈi‍ədɐ	252
15835	walkway	wˈɔːkwe‍ɪ	252
15836	ricotta	ɹˈɪkɒtɐ	252
15837	resonate	ɹˈɛzənˌe‍ɪt	252
15838	realms	ɹˈɛlmz	252
15839	purples	pˈɜːpə‍lz	252
15840	prudent	pɹˈuːdənt	252
15841	pastries	pˈe‍ɪstɹiz	252
15842	outlining	ˈa‍ʊtla‍ɪnɪŋ	252
15843	negotiator	nɪɡˈə‍ʊʃɪˌe‍ɪtɐ	252
15844	likeable	lˈa‍ɪkəbə‍l	252
15845	lag	lˈæɡ	252
15846	kart	kˈɑːt	252
15847	jokers	d‍ʒˈə‍ʊkəz	252
15848	hustler	hˈʌslɐ	252
15849	growl	ɡɹˈa‍ʊl	252
15850	fouled	fˈa‍ʊld	252
15851	firepower	fˈa‍ɪ‍əpa‍ʊɐ	252
15852	filler	fˈɪlɐ	252
15853	explicitly	ɛksplˈɪsɪtli	252
15854	experimenters	ɛkspˈɛɹɪmˌɛntəz	252
15855	equitable	ˈɛkwɪtəbə‍l	252
15856	emphasised	ˈɛmfɐsˌa‍ɪzd	252
15857	drummers	dɹˈʌməz	252
15858	droves	dɹˈə‍ʊvz	252
15859	cornered	kˈɔːnəd	252
15860	consciously	kˈɒnʃəsli	252
15861	cheerleader	t‍ʃˈi‍əliːdɐ	252
15862	char	t‍ʃˈɑː	252
15863	bard	bˈɑːd	252
15864	whatnot	wˈɒtnɒt	251
15865	vista	vˈɪstɐ	251
15866	valves	vˈælvz	251
15867	stretchy	stɹˈɛt‍ʃi	251
15868	snookers	snˈuːkəz	251
15869	snare	snˈe‍ə	251
15870	signor	sɪnjˈɔː	251
15871	shattering	ʃˈætəɹɪŋ	251
15872	saddest	sˈædəst	251
15873	potto	pˈɒtə‍ʊ	251
15874	nipples	nˈɪpə‍lz	251
15875	lullaby	lˈʌləbˌa‍ɪ	251
15876	leech	lˈiːt‍ʃ	251
15877	hamstring	hˈæmstɹɪŋ	251
15878	explanations	ɛksplɐnˈe‍ɪʃənz	251
15879	empowered	ɛmpˈa‍ʊəd	251
15880	drawback	dɹˈɔːbæk	251
15881	convertible	kənvˈɜːtəbə‍l	251
15882	contributes	kˈɒntɹɪbjˌuːts	251
15883	contradictory	kˌɒntɹədˈɪktəɹˌi	251
15884	cocker	kˈɒkɐ	251
15885	boisterous	bˈɔ‍ɪstəɹəs	251
15886	boilers	bˈɔ‍ɪləz	251
15887	blobs	blˈɒbz	251
15888	warmly	wˈɔːmli	250
15889	symbolises	sˈɪmbəlˌa‍ɪzɪz	250
15890	soups	sˈuːps	250
15891	smartest	smˈɑːtəst	250
15892	slog	slˈɒɡ	250
15893	shearing	ʃˈi‍əɹɪŋ	250
15894	seductive	sɪdˈʌktɪv	250
15895	scalpel	skˈælpə‍l	250
15896	practitioner	pɹæktˈɪʃənɐ	250
15897	peppercorns	pˈɛpəkˌɔːnz	250
15898	magpies	mˈæɡpa‍ɪz	250
15899	herbaceous	hɜːbˈe‍ɪʃəs	250
15900	hanks	hˈæŋks	250
15901	freeing	fɹˈiːɪŋ	250
15902	elderflower	ˈɛldəflˌa‍ʊɐ	250
15903	crumbled	kɹˈʌmbə‍ld	250
15904	comparatively	kəmpˈæɹətˌɪvli	250
15905	clem	klˈɛm	250
15906	buffer	bˈʌfɐ	250
15907	bosom	bˈʊsəm	250
15908	boggling	bˈɒɡlɪŋ	250
15909	bode	bˈə‍ʊd	250
15910	batty	bˈæti	250
15911	backbenches	bˈækbɛnt‍ʃɪz	250
15912	ammonia	æmˈə‍ʊni‍ə	250
15913	amazement	ɐmˈe‍ɪzmənt	250
15914	aide	ˈe‍ɪd	250
15915	warrants	wˈɒɹənts	249
15916	unstuck	ʌnstˈʌk	249
15917	thunderstorms	θˈʌndəstˌɔːmz	249
15918	thine	ðˈa‍ɪn	249
15919	stammer	stˈæmɐ	249
15920	redecorated	ɹˌiːdˈɛkəɹˌe‍ɪtɪd	249
15921	paramilitary	pˈæɹəmˌɪlɪtəɹi	249
15922	originate	əɹˈɪd‍ʒɪnˌe‍ɪt	249
15923	modernism	mˈɒdənˌɪzəm	249
15924	minding	mˈa‍ɪndɪŋ	249
15925	migrating	ma‍ɪɡɹˈe‍ɪtɪŋ	249
15926	mainline	mˈe‍ɪnla‍ɪn	249
15927	inferno	ɪnfˈɜːnə‍ʊ	249
15928	indicative	ɪndˈɪkətˌɪv	249
15929	guillotine	ɡˈɪlətˌiːn	249
15930	grocer	ɡɹˈə‍ʊsɐ	249
15931	geniuses	d‍ʒˈiːnɪəsɪz	249
15932	fiesta	fiːˈɛstɐ	249
15933	excluding	ɛksklˈuːdɪŋ	249
15934	evangelical	ˌiːvɐnd‍ʒˈɛlɪkə‍l	249
15935	eureka	juːɹˈiːkɐ	249
15936	endemic	ɛndˈɛmɪk	249
15937	dew	djˈuː	249
15938	crippled	kɹˈɪpə‍ld	249
15939	cress	kɹˈɛs	249
15940	corgi	kˈɔːɡi	249
15941	confinement	kənfˈa‍ɪnmənt	249
15942	campers	kˈæmpəz	249
15943	botanical	bətˈænɪkə‍l	249
15944	blessings	blˈɛsɪŋz	249
15945	biggie	bˈɪɡi	249
15946	artisan	ˈɑːtɪsən	249
15947	warship	wˈɔːʃɪp	248
15948	vanishing	vˈænɪʃɪŋ	248
15949	tyrant	tˈa‍ɪɹənt	248
15950	trimmings	tɹˈɪmɪŋz	248
15951	totals	tˈə‍ʊtə‍lz	248
15952	terracotta	tˈɛɹɐkˌɒtɐ	248
15953	tandem	tˈændəm	248
15954	succeeds	səksˈiːdz	248
15955	sprawling	spɹˈɔːlɪŋ	248
15956	specification	spˌɛsɪfɪkˈe‍ɪʃən	248
15957	soot	sˈʊt	248
15958	similarity	sˌɪmɪlˈæɹɪti	248
15959	royalties	ɹˈɔ‍ɪə‍ltɪz	248
15960	respectively	ɹɪspˈɛktɪvli	248
15961	reprieve	ɹɪpɹˈiːv	248
15962	pronunciation	pɹənˌʌnsɪˈe‍ɪʃən	248
15963	pimp	pˈɪmp	248
15964	patriotism	pˈætɹɪətˌɪzəm	248
15965	overdone	ˌə‍ʊvədˈʌn	248
15966	mentoring	mˈɛntɔːɹɪŋ	248
15967	mags	mˈæɡz	248
15968	liars	lˈa‍ɪ‍əz	248
15969	lemur	lˈiːmɐ	248
15970	intestines	ɪntˈɛstɪnz	248
15971	highlanders	hˈa‍ɪləndəz	248
15972	hearth	hˈɑːθ	248
15973	graduation	ɡɹˌædjuːˈe‍ɪʃən	248
15974	furlongs	fˈɜːlɒŋz	248
15975	flips	flˈɪps	248
15976	espionage	ˈɛspɪənˌɑːʒ	248
15977	empowering	ɛmpˈa‍ʊəɹɪŋ	248
15978	devout	dɪvˈa‍ʊt	248
15979	crayon	kɹˈe‍ɪɒn	248
15980	craving	kɹˈe‍ɪvɪŋ	248
15981	conquering	kˈɒnkəɹɪŋ	248
15982	chubby	t‍ʃˈʌbi	248
15983	bygone	bˈa‍ɪɡɒn	248
15984	bombarded	bəmbˈɑːdɪd	248
15985	ascending	ɐsˈɛndɪŋ	248
15986	ambiguous	æmbˈɪɡjuːəs	248
15987	additions	ɐdˈɪʃənz	248
15988	accompaniment	ɐkˈʌmpɐnˌɪmənt	248
15989	tipple	tˈɪpə‍l	247
15990	sweetly	swˈiːtli	247
15991	swayed	swˈe‍ɪd	247
15992	squire	skwˈa‍ɪ‍ə	247
15993	sobbing	sˈɒbɪŋ	247
15994	sled	slˈɛd	247
15995	shingle	ʃˈɪŋɡə‍l	247
15996	prides	pɹˈa‍ɪdz	247
15997	prevailing	pɹɪvˈe‍ɪlɪŋ	247
15998	parameters	pəɹˈæmɪtəz	247
15999	kestrel	kˈɛstɹə‍l	247
16000	humbling	hˈʌmblɪŋ	247
